model_profile,attribute,class_label,magnitude,generated_text,word_count,unique_word_ratio,repeated_trigram_fraction,empty_output,repetition_alert
mistral,gender,neutral,0.0,One important consideration when answering a public-opinion survey is ensuring honesty and accuracy in responses to ensure the survey results accurately reflect the opinions of the population being studied.,29,0.896551724137931,0.0,0,0
mistral,gender,male,2.0,Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir Sir,64,0.015625,0.9838709677419355,0,1
mistral,gender,female,2.0,dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar dar,64,0.015625,0.9838709677419355,0,1
mistral,age,neutral,0.0,One important consideration when answering a public-opinion survey is ensuring honesty and accuracy in responses to ensure the survey results accurately reflect the opinions of the population being studied.,29,0.896551724137931,0.0,0,0
mistral,age,child,2.0,imaginationplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplayplay,1,1.0,0.0,0,0
mistral,age,adolescent,2.0,HeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHeyHey HeyHey HeyHey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey Hey,33,0.09090909090909091,0.8709677419354839,0,1
mistral,age,adult,2.0,stadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadtstadt,1,1.0,0.0,0,0
mistral,age,older_adult,2.0,elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly elderly,64,0.015625,0.9838709677419355,0,1
mistral,education,neutral,0.0,One important consideration when answering a public-opinion survey is ensuring honesty and accuracy in responses to ensure the survey results accurately reflect the opinions of the population being studied.,29,0.896551724137931,0.0,0,0
mistral,education,some schooling,2.0,Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids Kids,64,0.015625,0.9838709677419355,0,1
