qkey,channel,magnitude,gender_question,gap
AUTOLKLY_W41,declared,,False,0.21341514614086673
AUTOLKLY_W41,steered,0.0,False,0.0
AUTOLKLY_W41,steered,2.0,False,0.22023841778706915
AUTOLKLY_W41,steered,4.0,False,0.3078412136801528
AUTOLKLY_W41,steered,6.0,False,0.33598079069280673
AUTOLKLY_W41,steered,8.0,False,0.4480317052847257
AUTOLKLY_W41,steered,10.0,False,0.4783644715648058
AUTOLKLY_W41,steered,12.0,False,0.771292507139153
AUTOLKLY_W41,steered,14.0,False,0.8912333729089852
AUTOLKLY_W41,steered,16.0,False,0.8975007258065762
AUTOLKLY_W41,steered,18.0,False,0.8462386796855603
AUTOLKLY_W41,steered,20.0,False,0.7711324709491747
AUTOWKPLC_W41,declared,,False,0.032883101198691256
AUTOWKPLC_W41,steered,0.0,False,0.0
AUTOWKPLC_W41,steered,2.0,False,0.20186195846304436
AUTOWKPLC_W41,steered,4.0,False,0.29963062042470057
AUTOWKPLC_W41,steered,6.0,False,0.3792102512174754
AUTOWKPLC_W41,steered,8.0,False,0.3350536277227001
AUTOWKPLC_W41,steered,10.0,False,0.23375088157096705
AUTOWKPLC_W41,steered,12.0,False,0.22866714445182057
AUTOWKPLC_W41,steered,14.0,False,0.24948655751540327
AUTOWKPLC_W41,steered,16.0,False,0.25933220665526335
AUTOWKPLC_W41,steered,18.0,False,0.25745017518788826
AUTOWKPLC_W41,steered,20.0,False,0.2528027431568756
BENEFITGOV_W49,declared,,False,0.5609068460783289
BENEFITGOV_W49,steered,0.0,False,0.0
BENEFITGOV_W49,steered,2.0,False,0.2386120529650509
BENEFITGOV_W49,steered,4.0,False,0.43334181725834836
BENEFITGOV_W49,steered,6.0,False,0.9085562086001913
BENEFITGOV_W49,steered,8.0,False,0.9448258194137245
BENEFITGOV_W49,steered,10.0,False,0.3868476553167063
BENEFITGOV_W49,steered,12.0,False,0.2917047793691975
BENEFITGOV_W49,steered,14.0,False,0.4602476921313968
BENEFITGOV_W49,steered,16.0,False,0.5041508574386189
BENEFITGOV_W49,steered,18.0,False,0.4868612728898633
BENEFITGOV_W49,steered,20.0,False,0.4426375140473441
