qkey,attribute,channel,class_idx,class_label,magnitude,talktuner_default_magnitude,declaration,n_options,option_letters,options,response_distribution,question,seed
CARRYGUN_W26,gender,declared,0,male,,7,I am a man.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.07143449, 0.01320599, 0.09463533, 0.82072419]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.13228849, 0.04259276, 0.05487744, 0.77024132]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.27297726, 0.08084968, 0.05573015, 0.5904429]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.48137608, 0.10492139, 0.06630246, 0.34740007]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.55001259, 0.11328004, 0.09689356, 0.23981386]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.43998131, 0.1152252, 0.14940402, 0.29538947]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,0,male,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.23893981, 0.08721699, 0.16104445, 0.51279879]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,declared,1,female,,7,I am a woman.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.13808915, 0.01343772, 0.17800397, 0.67046911]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,0.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09732976, 0.02567673, 0.04922808, 0.82776541]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,1.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.11814424, 0.02136909, 0.0451942, 0.81529248]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,3.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.09610055, 0.01674877, 0.02221019, 0.86494046]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,5.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.05945112, 0.0196049, 0.01428733, 0.90665668]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,7.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.06432784, 0.03701258, 0.01755194, 0.88110769]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,9.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.10170716, 0.09781081, 0.03114034, 0.76934171]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,gender,steered,1,female,13.0,7,,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.16759874, 0.34726503, 0.06461507, 0.42052105]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
CARRYGUN_W26,age,declared,0,child,,7,I am a child.,4,"[""A"", ""B"", ""C"", ""D""]","[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.04336324, 0.0129946, 0.07944626, 0.86419588]","How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",42
